iter	Passed	Remaining
779	4529	1277
780	4534	1271
781	4540	1265
782	4545	1259
783	4551	1253
784	4556	1247
785	4561	1242
786	4567	1236
787	4572	1230
788	4577	1224
789	4583	1218
790	4588	1212
791	4594	1206
792	4599	1200
793	4605	1194
794	4611	1189
795	4616	1183
796	4621	1177
797	4626	1171
798	4631	1165
799	4637	1159
800	4642	1153
801	4648	1147
802	4653	1141
803	4658	1135
804	4664	1129
805	4669	1123
806	4674	1117
807	4680	1112
808	4685	1106
809	4690	1100
810	4696	1094
811	4701	1088
812	4707	1082
813	4712	1076
814	4718	1070
815	4723	1065
816	4728	1059
817	4734	1053
818	4739	1047
819	4745	1041
820	4750	1035
821	4756	1029
822	4761	1024
823	4766	1018
824	4772	1012
825	4777	1006
826	4782	1000
827	4788	994
828	4793	988
829	4798	982
830	4804	977
831	4809	971
832	4814	965
833	4820	959
834	4826	953
835	4833	948
836	4839	942
837	4845	936
838	4851	931
839	4857	925
840	4863	919
841	4868	913
842	4874	907
843	4880	902
844	4886	896
845	4893	890
846	4899	884
847	4904	879
848	4911	873
849	4917	867
850	4922	861
851	4928	856
852	4934	850
853	4941	844
854	4946	838
855	4952	833
856	4959	827
857	4965	821
858	4971	815
859	4976	810
860	4982	804
861	4989	798
862	4995	793
863	5001	787
864	5008	781
865	5014	775
866	5020	770
867	5026	764
868	5032	758
869	5039	753
870	5046	747
871	5052	741
872	5058	735
873	5064	730
874	5070	724
875	5076	718
876	5082	712
877	5088	707
878	5094	701
879	5100	695
880	5106	689
881	5113	684
882	5119	678
883	5125	672
884	5131	666
885	5137	661
886	5143	655
887	5149	649
888	5155	643
889	5161	637
890	5168	632
891	5173	626
892	5179	620
893	5186	614
894	5192	609
895	5198	603
896	5204	597
897	5210	591
898	5216	586
899	5222	580
900	5227	574
901	5233	568
902	5239	562
903	5246	557
904	5252	551
905	5259	545
906	5265	539
907	5271	534
908	5277	528
909	5283	522
910	5288	516
911	5295	510
912	5301	505
913	5307	499
914	5313	493
915	5319	487
916	5325	481
917	5330	476
918	5336	470
919	5342	464
920	5348	458
921	5354	453
922	5361	447
923	5367	441
924	5373	435
925	5379	429
926	5385	424
927	5391	418
928	5396	412
929	5402	406
930	5409	400
931	5414	395
932	5421	389
933	5427	383
934	5433	377
935	5439	371
936	5445	366
937	5451	360
938	5457	354
939	5464	348
940	5470	342
941	5476	337
942	5483	331
943	5488	325
944	5494	319
945	5500	313
946	5506	308
947	5513	302
948	5519	296
949	5525	290
950	5531	285
951	5538	279
952	5543	273
953	5549	267
954	5556	261
955	5562	255
956	5567	250
957	5574	244
958	5580	238
959	5586	232
960	5593	226
961	5599	221
962	5605	215
963	5611	209
964	5617	203
965	5622	197
966	5629	192
967	5635	186
968	5641	180
969	5648	174
970	5654	168
971	5660	163
972	5666	157
973	5672	151
974	5678	145
975	5684	139
976	5691	133
977	5697	128
978	5702	122
979	5709	116
980	5715	110
981	5720	104
982	5726	99
983	5733	93
984	5739	87
985	5744	81
986	5751	75
987	5757	69
988	5764	64
989	5770	58
990	5776	52
991	5782	46
992	5788	40
993	5794	34
994	5799	29
995	5805	23
996	5811	17
997	5817	11
998	5822	5
999	5828	0
